modelo,capa,cabeza,escala,kappa,e_original,ctrl_p5,ctrl_mediana,ctrl_p95,dentro
vitb,0,0,2.0,62.16754275744752,0.8927172395790932,1.1900057121258134,1.265531813358498,1.375460141977134,False
vitb,0,0,8.0,32.43865456554498,0.6065585246328438,0.7259986971659433,0.7723968014864715,0.8382706162476081,False
vitb,0,0,32.0,1.9448061139274255,0.23344795769758936,0.17460224846855626,0.18056470380880224,0.18544791808479913,False
vitb,0,6,2.0,175.7122111904209,1.7502256227394244,2.249558729741541,2.4670278751203267,2.8078704520653894,False
vitb,0,6,8.0,52.808301573616816,0.6550556191552247,0.8913443060887938,0.9374002192617279,1.0635320234474026,False
vitb,0,6,32.0,1.989463126284543,0.19787099862829355,0.14779005201447196,0.1516444153768915,0.15668670284980257,False
vitb,3,0,2.0,133.70380628195116,1.7354891460772548,2.367496310406664,2.436482855075709,2.4984514075050575,False
vitb,3,0,8.0,86.30028919559962,1.118364752770952,1.6519287872306188,1.7307935538259145,1.7981355764308258,False
vitb,3,0,32.0,2.01103014313464,0.1940324287383019,0.1824702543477913,0.18467307765011187,0.18712411248960462,False
vitb,3,6,2.0,197.9617005037835,2.2705944912292275,3.2099641795813776,3.291612481498912,3.4155165990304193,False
vitb,3,6,8.0,55.619063950066675,0.78634998069251,1.1603319023392926,1.1975290602436193,1.223857674709144,False
vitb,3,6,32.0,1.99473480255493,0.17985147731274256,0.17720503916515018,0.18039706835406097,0.18333677645770113,True
vitb,6,0,2.0,599.1136708878907,5.862875569543123,8.354473279862141,8.65721047625285,8.97334454763333,False
vitb,6,0,8.0,45.02780492844232,0.7751991962765619,1.0293652911345386,1.0426267052708593,1.058534069972652,False
vitb,6,0,32.0,1.9617734229781942,0.18616605380879156,0.18294785898029822,0.18456884947254887,0.1877155254544226,True
vitb,6,6,2.0,115.90110247646142,1.583153965556308,2.1243444484656457,2.1891547696141886,2.2803118862071146,False
vitb,6,6,8.0,29.795813212250266,0.5963374011618342,0.7592033447146264,0.778415393543389,0.7894903712329342,False
vitb,6,6,32.0,2.002124018223049,0.18414340137681603,0.18494413330733378,0.18687255897464256,0.18837601986169916,False
vitb,9,0,2.0,128.34436655485325,1.7516097050637425,2.4457376211621393,2.515955816691121,2.6487282992865326,False
vitb,9,0,8.0,76.0692540187989,1.1051937567432637,1.604976590182418,1.6479559737399687,1.6993971908444152,False
vitb,9,0,32.0,2.0708442119209565,0.19367748916558575,0.1956943250714796,0.196954584924066,0.20166937890861134,False
vitb,9,6,2.0,1115.6903764950052,11.597858194227129,14.369316778619238,14.880051217162965,15.144698288173533,False
vitb,9,6,8.0,265.03056019202836,3.2307228012776394,4.290417419476132,4.363902314022125,4.44920477074349,False
vitb,9,6,32.0,2.0438399097441056,0.18655605913439205,0.18528580308085435,0.1883274236029019,0.19025767030734425,True
pythia,0,0,2.0,62.16754275744752,1.0425196508879602,1.337427434093632,1.3844615264411408,1.435993272476712,False
pythia,0,0,8.0,32.43865456554498,0.5900787056383133,0.835401505190749,0.8476574355908306,0.8673818958658166,False
pythia,0,0,32.0,1.9448061139274255,0.18759055123051388,0.189296516746643,0.19051401578986377,0.19261164739270814,False
pythia,0,8,2.0,175.7122111904209,2.2257800479424423,3.0305460412206022,3.080856095503915,3.2652605728398316,False
pythia,0,8,8.0,52.808301573616816,0.7894320782015908,1.1423407778462884,1.1897673794283525,1.23104936366907,False
pythia,0,8,32.0,1.989463126284543,0.18423836492810028,0.18292700834340375,0.18579629061500252,0.18818048805731316,True
pythia,6,0,2.0,133.70380628195116,1.813665933122221,2.4810370740915166,2.545356718890846,2.6301011398634118,False
pythia,6,0,8.0,86.30028919559962,1.0680726787392083,1.753015998629078,1.7887512271015176,1.8300593553193374,False
pythia,6,0,32.0,2.01103014313464,0.18910442008011308,0.18891392584506275,0.1918599056623087,0.19510781590674148,True
pythia,6,8,2.0,197.9617005037835,2.4351722080337224,3.509340191776337,3.5812135916095427,3.658366023015016,False
pythia,6,8,8.0,55.619063950066675,0.8547849205249867,1.270400593362782,1.2899336450188323,1.3209283260483204,False
pythia,6,8,32.0,1.99473480255493,0.19064282525114645,0.1913871654498539,0.19444842787721367,0.1974920984534423,False
pythia,12,0,2.0,599.1136708878907,6.6882326216511565,8.896641174360319,9.156865604426999,9.42658802894575,False
pythia,12,0,8.0,45.02780492844232,0.8284633303406225,1.1079337496779889,1.1194045925337766,1.1349895760833797,False
pythia,12,0,32.0,1.9617734229781942,0.19290728612684604,0.1952986170607368,0.19651410437264144,0.19918173010590826,False
pythia,12,8,2.0,115.90110247646142,1.7108094164129541,2.273661222880868,2.3092345287977847,2.3626853184804046,False
pythia,12,8,8.0,29.795813212250266,0.6359726621229457,0.805706111110795,0.8245047686322313,0.8459888673190534,False
pythia,12,8,32.0,2.002124018223049,0.1923473231949956,0.19588385176128628,0.19739037554489564,0.2003690150465961,False
pythia,18,0,2.0,128.34436655485325,1.8920575976519278,2.478681875918254,2.5263548400355935,2.5851775756914153,False
pythia,18,0,8.0,76.0692540187989,1.1264514486982389,1.6386725192131084,1.6737128327373036,1.691064412664404,False
pythia,18,0,32.0,2.0708442119209565,0.19473412820341487,0.1962531094148835,0.1985704836078992,0.1995019016561042,False
pythia,18,8,2.0,1115.6903764950052,13.101198825857717,15.349924564456835,15.810598826021124,16.349927804777113,False
pythia,18,8,8.0,265.03056019202836,3.197392808672675,4.574860037470611,4.657393222240089,4.733446425488929,False
pythia,18,8,32.0,2.0438399097441056,0.1939668905292022,0.19744055533546645,0.20024655526727422,0.20351718443565167,False
