capa,cabeza,bits,ratio_q2,veredicto
0,0,4,1.0208087118662161,cerca
0,0,8,1.01603458914002,cerca
0,1,4,1.0585672095607908,cerca
0,1,8,1.0576553577607437,cerca
0,2,4,1.0379928783455001,cerca
0,2,8,1.0402508727340447,cerca
0,3,4,1.088122321758337,cerca
0,3,8,1.0843928973228036,cerca
0,4,4,1.0318092843681388,cerca
0,4,8,1.0342383046906463,cerca
0,5,4,1.0286949549130788,cerca
0,5,8,1.032732563117274,cerca
0,6,4,1.0391905148064988,cerca
0,6,8,1.0422617203116535,cerca
0,7,4,1.0104901292039423,cerca
0,7,8,1.0157892412971004,cerca
0,8,4,1.0182222046472154,cerca
0,8,8,1.0197532754221177,cerca
0,9,4,1.0212983766341885,cerca
0,9,8,1.0186892095187023,cerca
0,10,4,1.0430047700735137,cerca
0,10,8,1.0399652068628924,cerca
0,11,4,1.0166689071256603,cerca
0,11,8,1.0133360194016463,cerca
0,12,4,1.0266519536170904,cerca
0,12,8,1.0221476455003475,cerca
0,13,4,1.088193134346684,cerca
0,13,8,1.0957189769496467,cerca
0,14,4,1.0255377763374163,cerca
0,14,8,1.0222819527768559,cerca
0,15,4,1.0291931789765723,cerca
0,15,8,1.0255204309447115,cerca
1,0,4,1.0268890504295474,cerca
1,0,8,1.0291704131179509,cerca
1,1,4,1.025902405013262,cerca
1,1,8,1.0229975299557732,cerca
1,2,4,1.0073404746977845,cerca
1,2,8,1.0069640332622367,cerca
1,3,4,1.0172862739295185,cerca
1,3,8,1.0156401693621733,cerca
1,4,4,1.0311792224138578,cerca
1,4,8,1.0291915563171505,cerca
1,5,4,1.0135515242110835,cerca
1,5,8,1.0092453975427924,cerca
1,6,4,1.0139167349574874,cerca
1,6,8,1.0109282160379542,cerca
1,7,4,1.0264641526389071,cerca
1,7,8,1.0238861622660764,cerca
1,8,4,1.0300899297632122,cerca
1,8,8,1.0355461960767853,cerca
1,9,4,1.008012509226466,cerca
1,9,8,1.0126032415493542,cerca
1,10,4,1.0304460585398612,cerca
1,10,8,1.031599036692877,cerca
1,11,4,1.0355721248642222,cerca
1,11,8,1.0340842155218826,cerca
1,12,4,1.0259185939580375,cerca
1,12,8,1.0300026086538763,cerca
1,13,4,1.0170212452349285,cerca
1,13,8,1.009784716416486,cerca
1,14,4,1.0644619862344733,cerca
1,14,8,1.0647049956790196,cerca
1,15,4,1.0300440682378413,cerca
1,15,8,1.0302570248050265,cerca
2,0,4,1.0061553942747994,cerca
2,0,8,1.0063799960939683,cerca
2,1,4,1.0325764913552253,cerca
2,1,8,1.0381649057726587,cerca
2,2,4,1.0292726178005047,cerca
2,2,8,1.0229976618633363,cerca
2,3,4,1.0324283226542657,cerca
2,3,8,1.0270628812574651,cerca
2,4,4,1.0284761781687943,cerca
2,4,8,1.0253742461230217,cerca
2,5,4,1.0252182331753035,cerca
2,5,8,1.028701725314696,cerca
2,6,4,1.0221871134092184,cerca
2,6,8,1.02876719333227,cerca
2,7,4,1.037252857474384,cerca
2,7,8,1.0311974602724094,cerca
2,8,4,1.0300130926452364,cerca
2,8,8,1.0323565102405723,cerca
2,9,4,1.0327879823260748,cerca
