capa,cabeza,bits,ratio_q1,veredicto
0,0,4,0.8038825158801776,estrecho
0,0,8,0.7878465112508727,estrecho
0,1,4,1.0332942728576586,estrecho
0,1,8,1.0273680831893803,estrecho
0,2,4,0.9670560866778896,estrecho
0,2,8,0.960028164373092,estrecho
0,3,4,0.764861857601563,estrecho
0,3,8,0.7582956827304205,estrecho
0,4,4,0.8797606552952607,estrecho
0,4,8,0.8623569028229694,estrecho
0,5,4,0.8893358204656123,estrecho
0,5,8,0.8745046608515178,estrecho
0,6,4,0.765537305615452,estrecho
0,6,8,0.762526205790068,estrecho
0,7,4,0.8884178763985945,estrecho
0,7,8,0.8977378029975397,estrecho
0,8,4,0.9703276274819168,estrecho
0,8,8,0.945532381573249,estrecho
0,9,4,0.8577118659015947,estrecho
0,9,8,0.8537508633238933,estrecho
0,10,4,0.8492956336040465,estrecho
0,10,8,0.8624387840090453,estrecho
0,11,4,0.8362488971892662,estrecho
0,11,8,0.8249664963200496,estrecho
1,0,4,0.9439008517183791,estrecho
1,0,8,0.9374798755134083,estrecho
1,1,4,0.9763452582143598,estrecho
1,1,8,0.9662464714361572,estrecho
1,2,4,0.8715469938054221,estrecho
1,2,8,0.8753137274671545,estrecho
1,3,4,0.9139138026929645,estrecho
1,3,8,0.9212231964900864,estrecho
1,4,4,0.9236701778253572,estrecho
1,4,8,0.9260430663556448,estrecho
1,5,4,0.8285775098843698,estrecho
1,5,8,0.828230119360644,estrecho
1,6,4,0.9371997671608994,estrecho
1,6,8,0.929958103875222,estrecho
1,7,4,0.8477155115015116,estrecho
1,7,8,0.8453320627260636,estrecho
1,8,4,0.9699181933092298,estrecho
1,8,8,0.9639215140067713,estrecho
1,9,4,0.9582421042577506,estrecho
1,9,8,0.9560582393645283,estrecho
1,10,4,0.862504535496716,estrecho
1,10,8,0.8688245534452144,estrecho
1,11,4,0.9316463629405339,estrecho
1,11,8,0.9245630060573835,estrecho
2,0,4,1.0125289164924716,estrecho
2,0,8,1.0060915562403487,estrecho
2,1,4,0.9719940724484472,estrecho
2,1,8,0.9743148445303671,estrecho
2,2,4,1.0124594944020364,estrecho
2,2,8,1.018229269914155,estrecho
2,3,4,0.9084412822389154,estrecho
2,3,8,0.9091828792967834,estrecho
2,4,4,1.0167775492095295,estrecho
2,4,8,1.0136356743137336,estrecho
2,5,4,0.9546711429329124,estrecho
2,5,8,0.9567155102031567,estrecho
2,6,4,0.8949526260888591,estrecho
2,6,8,0.8916151812426473,estrecho
2,7,4,0.9576110843122577,estrecho
2,7,8,0.9625270454451296,estrecho
2,8,4,0.9711371152804447,estrecho
2,8,8,0.9722712685726654,estrecho
2,9,4,1.0084569562541934,estrecho
2,9,8,1.0099852589086107,estrecho
2,10,4,0.9600247787614126,estrecho
2,10,8,0.9650314585152671,estrecho
2,11,4,1.0043153338729771,estrecho
2,11,8,1.003485349913137,estrecho
3,0,4,0.9572051829786746,estrecho
3,0,8,0.9570130845223798,estrecho
3,1,4,0.9160777435018905,estrecho
3,1,8,0.9235314058920505,estrecho
3,2,4,1.0052277857055494,estrecho
3,2,8,1.008882888437418,estrecho
3,3,4,0.9830923323780387,estrecho
3,3,8,0.9821881272409004,estrecho
3,4,4,0.9788622024107769,estrecho
3,4,8,0.9807824074351515,estrecho
3,5,4,1.0043386965295737,estrecho
3,5,8,1.000105658359663,estrecho
3,6,4,0.9854259261269301,estrecho
3,6,8,0.9884432165711949,estrecho
3,7,4,1.006536783886675,estrecho
3,7,8,1.005370759779019,estrecho
3,8,4,0.937713532648485,estrecho
3,8,8,0.9381715931872625,estrecho
3,9,4,1.0167692417726089,estrecho
3,9,8,1.0155628816515363,estrecho
3,10,4,1.0037886120391113,estrecho
3,10,8,0.9984611804753709,estrecho
3,11,4,0.9886583890208137,estrecho
3,11,8,0.985763570382104,estrecho
4,0,4,0.9942674153916048,estrecho
4,0,8,0.9982312558475253,estrecho
4,1,4,0.9868858230930837,estrecho
4,1,8,0.9896682181619066,estrecho
4,2,4,1.023806531809066,estrecho
4,2,8,1.0189631396969254,estrecho
